y,x1,x2
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,33.14,82.84
18.8,32.97,82.47
18.9,32.79,82.26
18.9,32.62,82.58
18.9,32.43,83.16
19,32.28,83.74
19,32.14,84.31
19,32,84.76
19.1,31.84,85.22
19.1,31.74,85.68
19.1,31.65,86.31
19.2,31.56,86.67
19.2,31.49,87.1
19.3,31.4,87.25
19.3,31.32,87.32
19.3,31.25,87.38
19.4,31.16,87.73
19.4,31.11,87.68
19.4,31.07,88.1
19.5,30.98,88.36
19.5,30.94,88.77
19.5,30.91,89.08
19.6,30.87,89.33
19.6,30.84,89.48
19.6,30.8,89.7
19.7,30.75,89.68
19.7,30.73,89.83
19.6,30.68,89.91
19.6,30.63,90.08
19.5,30.61,90.38
19.5,30.59,90.78
19.4,30.57,90.91
19.3,30.57,91.22
19.3,30.53,91.42
19.2,30.56,91.98
19.2,30.56,92.33
19.1,30.56,92.8
19,30.59,93.16
19,30.59,93.26
18.9,30.61,93.05
18.8,30.61,90.92
18.8,30.59,91.84
18.7,30.59,92.63
18.7,30.61,93.12
18.6,30.59,93.49
18.8,30.63,93.61
18.9,30.66,93.82
19.1,30.64,93.77
19.3,30.65,93.73
19.4,30.66,93.69
19.6,30.67,93.65
19.8,30.66,93.51
20,30.63,93.51
20.1,30.63,93.61
20.3,30.61,93.69
20.5,30.61,93.71
20.6,30.6,93.78
20.8,30.59,93.76
21,30.56,93.82
21.1,30.56,93.76
21.3,30.52,93.52
21.5,30.52,93.54
21.6,30.47,93.64
21.8,30.47,93.68
22,30.46,93.84
22.2,30.45,93.93
22.3,30.45,93.93
22.5,30.4,94.18
22.7,30.42,94.26
22.8,30.42,94.25
23,30.39,94.02
23.1,30.37,94.08
23.2,30.36,94.21
23.4,30.35,94.21
23.5,30.35,94.31
23.6,30.35,94.32
23.7,30.33,94.61
23.8,30.35,95.05
24,30.36,95.36
24.1,30.36,95.51
24.2,30.42,95.77
24.3,30.42,95.96
24.4,30.45,95.97
24.6,30.46,95.84
24.7,30.49,95.64
24.8,30.47,95.48
24.9,30.47,95.35
25,30.45,95.35
25.2,30.46,95.49
25.3,30.46,95.57
25.4,30.43,95.67
25.5,30.45,95.82
25.6,30.46,96.02
25.8,30.47,95.94
25.9,30.5,95.8
26,30.49,95.8
25.9,30.47,95.8
25.8,30.46,95.72
25.7,30.43,95.54
25.6,30.45,95.46
25.5,30.43,95.34
25.4,30.4,95.23
25.4,30.39,94.97
25.3,30.35,94.82
25.2,30.32,94.76
25.1,30.29,94.77
25,30.26,94.68
24.9,30.26,94.68
